tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,airportid_1,airportid_2,airport_1,airport_2,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 1a,2015,1,30257,32467,"Albany, NY","Miami, FL (Metropolitan Area)",1225,10257,13303,ALB,MIA,39.44444444,281.4577465,US,0.461971831,274.995122,UA,0.107042254,226.1026316
Table 1a,2015,1,30257,30977,"Albany, NY","Chicago, IL",723,10257,13930,ALB,ORD,136.5555556,260.8685924,UA,0.763222132,273.2577825,US,0.121236778,195.2610738
Table 1a,2015,1,30257,33195,"Albany, NY","Tampa, FL (Metropolitan Area)",1130,10257,15304,ALB,TPA,400,198.8420278,WN,0.781388889,196.4564166,UA,0.045555556,167.8939024
Table 1a,2015,1,30279,30194,"Amarillo, TX","Dallas/Fort Worth, TX",323,10279,11259,AMA,DAL,223.4444444,162.5831427,WN,0.994032819,162.6134067,WN,0.994032819,162.6134067
Table 1a,2015,1,30279,30194,"Amarillo, TX","Dallas/Fort Worth, TX",323,10279,11298,AMA,DFW,118.5555556,189.2688847,AA,0.929709466,191.7454637,US,0.037488285,162.415
Table 1a,2015,1,30279,31453,"Amarillo, TX","Houston, TX",537,10279,12191,AMA,HOU,81.11111111,227.3438356,WN,0.973972603,226.8344585,WN,0.973972603,226.8344585
Table 1a,2015,1,30279,31453,"Amarillo, TX","Houston, TX",537,10279,12266,AMA,IAH,75.22222222,244.2570162,UA,0.841949778,244.1787719,UA,0.841949778,244.1787719
Table 1a,2015,1,30372,32575,"Aspen, CO","Los Angeles, CA (Metropolitan Area)",737,10372,10800,ASE,BUR,0.444444444,471.275,UA,0.75,560,UA,0.75,560
Table 1a,2015,1,30372,31703,"Aspen, CO","New York City, NY (Metropolitan Area)",1750,10372,11618,ASE,EWR,61.77777778,489.5316547,UA,0.895683453,477.0883534,DL,0.012589928,412.1857143
Table 1a,2015,1,30372,31703,"Aspen, CO","New York City, NY (Metropolitan Area)",1750,10372,12197,ASE,HPN,3.333333333,423.5933333,UA,0.833333333,435.74,DL,0.133333333,363.5
